April,casual,1784
April,member,4558
August,casual,66203
August,member,117715
December,casual,51672
December,member,172401
February,casual,4570
February,member,20798
January,casual,3715
January,member,21653
July,casual,331358
July,member,436292
June,casual,50544
June,member,82638
March,casual,9134
March,member,22576
May,casual,2200
May,member,4142
November,casual,53434
November,member,149510
October,casual,177071
October,member,360042
September,casual,19000
September,member,38078
