0,casual,14215
0,member,14351
1,casual,9400
1,member,8409
2,casual,5578
2,member,4834
3,casual,3013
3,member,3053
4,casual,2197
4,member,3388
5,casual,4463
5,member,13536
6,casual,11333
6,member,40954
7,casual,20118
7,member,76425
8,casual,27454
8,member,96324
9,casual,27537
9,member,65267
10,casual,34054
10,member,58706
11,casual,42945
11,member,70364
12,casual,50454
12,member,79109
13,casual,51272
13,member,78673
14,casual,53624
14,member,79112
15,casual,59344
15,member,97141
16,casual,66929
16,member,129587
17,casual,71878
17,member,150105
18,casual,62574
18,member,118118
19,casual,46365
19,member,83012
20,casual,34996
20,member,59128
21,casual,28501
21,member,45632
22,casual,24953
22,member,33832
23,casual,17488
23,member,21343
